Ores Which smelt into elements:
    Lignite Ore                 Lignite                     remove tag forge:ores/coal
    Subbituminous Coal Ores     Subbituminous Coal          remove tag forge:ores/coal
    Bituminous Coal Ore         Bituminous Coal             remove tag forge:ores/coal
    Anthracite Coal Ore         Anthracite Coal             remove tag forge:ores/coal
    Native Aluminum Ore         Aluminum
    Native Sulfur Ore           Sulfur
    Magnetite Ore               Iron
    Pentlandite Ore             Nickel
    Interspinifex               Copper
    Native Copper Ore           Copper
    Malachite Ores              Copper
    Sphalerite Ores             Zinc
    Native Gallium Ore          Gallium
    Native Arsenic Ore          Arsenic
    Native Selenium             Selenium
    Native Silver Ore           Silver
    Native Indium Ore           Indium
    Native Tin Ore              Tin
    Cassiterite Ore             Tin
    Native Tellurium Ore        Tellurium
    Wolframite Ore              Tungsten
    Native Gold Ore             Gold
    Native Lead Ore             Lead
    Galena Ore                  Lead
    Native Bismuth Ore          Bismuth
    Plumbago                    Graphite
    Moissinite                  Silicon Carbide
    Sperrylite                  Osmium
    Diamond Ore                 Diamond
    Emerald Ore                 Emerald
    Opal Ore                    Opal
    Aquamarine                  Aquamarine
    Majorite Ore                Garnet
    Quartz Ore                  Quartz
    Fluorite                    Fluorite
    Cinnabar                    Cinnabar
    Halite                      Salt
    Pink Halite                 Pink Salt


Misc Actions
    Bauxite Ore                 remove tag forge:ores/aluminum
    Cobaltite Ore               remove tag forge:ores/cobalt
    Acanthite Ore               remove tag forge:ores/silver
    Uraninite Ore               remove tag forge:ores/uranium
    Lazurite Ore                remove tag forge:ores/lapis
